nodename	dN	dS	id
LIN	0.010943	0.134543	auto_500_100
AFR	0.000721	0.008905	auto_500_100
MIM	0.001165	0.008835	auto_500_100
AFR_MIM	0.004636	0.057469	auto_500_100
TENT	0.001202	0.006462	auto_500_100
DUM	0.00114	0.006749	auto_500_100
TENT_DUM	0.004918	0.047845	auto_500_100
BI	0.001671	0.012574	auto_500_100
PAC	0.000185	0.001883	auto_500_100
SARA	0.000987	0.007439	auto_500_100
PAC_SARA	0.000538	0.006617	auto_500_100
BI_PAC_SARA	0.00333	0.042602	auto_500_100
TENT_DUM_BI_PAC_SARA	0.001573	0.01818	auto_500_100
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_100
LIN	0.010449	0.13553	auto_500_101
AFR	0.000823	0.009707	auto_500_101
MIM	0.001073	0.008951	auto_500_101
AFR_MIM	0.004788	0.056835	auto_500_101
TENT	0.001091	0.00706	auto_500_101
DUM	0.001181	0.006714	auto_500_101
TENT_DUM	0.004716	0.049614	auto_500_101
BI	0.001636	0.012702	auto_500_101
PAC	0.000179	0.002053	auto_500_101
SARA	0.00095	0.007145	auto_500_101
PAC_SARA	0.000488	0.006335	auto_500_101
BI_PAC_SARA	0.00305	0.042357	auto_500_101
TENT_DUM_BI_PAC_SARA	0.001565	0.019911	auto_500_101
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_101
LIN	0.010407	0.132977	auto_500_102
AFR	0.000811	0.009296	auto_500_102
MIM	0.001203	0.00878	auto_500_102
AFR_MIM	0.004714	0.059588	auto_500_102
TENT	0.001024	0.006028	auto_500_102
DUM	0.001059	0.005705	auto_500_102
TENT_DUM	0.004737	0.048239	auto_500_102
BI	0.001679	0.013969	auto_500_102
PAC	0.000175	0.001885	auto_500_102
SARA	0.000965	0.007375	auto_500_102
PAC_SARA	0.000519	0.006626	auto_500_102
BI_PAC_SARA	0.002901	0.041524	auto_500_102
TENT_DUM_BI_PAC_SARA	0.001589	0.018217	auto_500_102
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_102
LIN	0.010425	0.13006	auto_500_103
AFR	0.000836	0.008611	auto_500_103
MIM	0.001089	0.009365	auto_500_103
AFR_MIM	0.004623	0.056535	auto_500_103
TENT	0.001278	0.006918	auto_500_103
DUM	0.001013	0.00647	auto_500_103
TENT_DUM	0.004785	0.047184	auto_500_103
BI	0.001539	0.013646	auto_500_103
PAC	0.000126	0.001625	auto_500_103
SARA	0.000828	0.006122	auto_500_103
PAC_SARA	0.000562	0.007011	auto_500_103
BI_PAC_SARA	0.002946	0.041232	auto_500_103
TENT_DUM_BI_PAC_SARA	0.00144	0.018358	auto_500_103
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_103
LIN	0.010417	0.130765	auto_500_104
AFR	0.000959	0.009903	auto_500_104
MIM	0.001077	0.00922	auto_500_104
AFR_MIM	0.00449	0.058395	auto_500_104
TENT	0.001188	0.006609	auto_500_104
DUM	0.001034	0.006291	auto_500_104
TENT_DUM	0.004803	0.046428	auto_500_104
BI	0.00165	0.013532	auto_500_104
PAC	0.000188	0.001527	auto_500_104
SARA	0.000963	0.007174	auto_500_104
PAC_SARA	0.000473	0.005939	auto_500_104
BI_PAC_SARA	0.002859	0.041081	auto_500_104
TENT_DUM_BI_PAC_SARA	0.001375	0.018669	auto_500_104
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_104
LIN	0.009541	0.13308	auto_500_105
AFR	0.000847	0.009257	auto_500_105
MIM	0.001032	0.008693	auto_500_105
AFR_MIM	0.00447	0.056415	auto_500_105
TENT	0.001038	0.006473	auto_500_105
DUM	0.001097	0.006149	auto_500_105
TENT_DUM	0.004587	0.048705	auto_500_105
BI	0.001566	0.014188	auto_500_105
PAC	0.000171	0.001786	auto_500_105
SARA	0.000892	0.006933	auto_500_105
PAC_SARA	0.000443	0.006174	auto_500_105
BI_PAC_SARA	0.002697	0.04084	auto_500_105
TENT_DUM_BI_PAC_SARA	0.001352	0.017473	auto_500_105
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_105
LIN	0.010093	0.133663	auto_500_106
AFR	0.000894	0.008848	auto_500_106
MIM	0.001005	0.008441	auto_500_106
AFR_MIM	0.004302	0.059314	auto_500_106
TENT	0.000975	0.006611	auto_500_106
DUM	0.00103	0.006351	auto_500_106
TENT_DUM	0.004654	0.046902	auto_500_106
BI	0.001545	0.013478	auto_500_106
PAC	0.000168	0.001805	auto_500_106
SARA	0.000993	0.007087	auto_500_106
PAC_SARA	0.000454	0.006018	auto_500_106
BI_PAC_SARA	0.00282	0.040856	auto_500_106
TENT_DUM_BI_PAC_SARA	0.001428	0.018281	auto_500_106
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_106
LIN	0.011065	0.134528	auto_500_107
AFR	0.000912	0.009262	auto_500_107
MIM	0.001045	0.008819	auto_500_107
AFR_MIM	0.004634	0.058494	auto_500_107
TENT	0.001027	0.007155	auto_500_107
DUM	0.001259	0.00705	auto_500_107
TENT_DUM	0.004739	0.04785	auto_500_107
BI	0.001707	0.014093	auto_500_107
PAC	0.000173	0.00173	auto_500_107
SARA	0.000998	0.006612	auto_500_107
PAC_SARA	0.000566	0.006875	auto_500_107
BI_PAC_SARA	0.00295	0.042153	auto_500_107
TENT_DUM_BI_PAC_SARA	0.001671	0.020109	auto_500_107
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_107
LIN	0.00973	0.134896	auto_500_108
AFR	0.000745	0.008309	auto_500_108
MIM	0.001078	0.008254	auto_500_108
AFR_MIM	0.004237	0.056603	auto_500_108
TENT	0.001085	0.007006	auto_500_108
DUM	0.001269	0.006457	auto_500_108
TENT_DUM	0.00455	0.047363	auto_500_108
BI	0.001598	0.013444	auto_500_108
PAC	0.000193	0.00159	auto_500_108
SARA	0.000868	0.006786	auto_500_108
PAC_SARA	0.000433	0.006003	auto_500_108
BI_PAC_SARA	0.002897	0.04087	auto_500_108
TENT_DUM_BI_PAC_SARA	0.001387	0.017481	auto_500_108
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_108
LIN	0.010597	0.13331	auto_500_109
AFR	0.000769	0.009094	auto_500_109
MIM	0.001146	0.008665	auto_500_109
AFR_MIM	0.004366	0.059031	auto_500_109
TENT	0.000968	0.006293	auto_500_109
DUM	0.001114	0.005975	auto_500_109
TENT_DUM	0.004828	0.047154	auto_500_109
BI	0.001713	0.013713	auto_500_109
PAC	0.000201	0.00186	auto_500_109
SARA	0.00088	0.00657	auto_500_109
PAC_SARA	0.00055	0.006915	auto_500_109
BI_PAC_SARA	0.002856	0.041516	auto_500_109
TENT_DUM_BI_PAC_SARA	0.00144	0.01921	auto_500_109
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_109
LIN	0.010731	0.138019	auto_500_10
AFR	0.000983	0.008524	auto_500_10
MIM	0.00116	0.00943	auto_500_10
AFR_MIM	0.00481	0.057704	auto_500_10
TENT	0.001095	0.006527	auto_500_10
DUM	0.001329	0.007177	auto_500_10
TENT_DUM	0.004752	0.047636	auto_500_10
BI	0.001618	0.013717	auto_500_10
PAC	0.000169	0.00166	auto_500_10
SARA	0.000993	0.006598	auto_500_10
