nodename	dN	dS	id
LIN	0.01257	0.138274	x_100_100
AFR	0.00068	0.005638	x_100_100
MIM	0.001327	0.006649	x_100_100
AFR_MIM	0.005314	0.06276	x_100_100
TENT	0.001036	0.006635	x_100_100
DUM	0.001603	0.007536	x_100_100
TENT_DUM	0.004885	0.051279	x_100_100
BI	0.00119	0.010926	x_100_100
PAC	0.000205	0.002353	x_100_100
SARA	0.000795	0.006098	x_100_100
PAC_SARA	0.000705	0.007758	x_100_100
BI_PAC_SARA	0.003644	0.042297	x_100_100
TENT_DUM_BI_PAC_SARA	0.001716	0.016206	x_100_100
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_100
LIN	0.013919	0.133354	x_100_10
AFR	0.000579	0.00668	x_100_10
MIM	0.001185	0.007287	x_100_10
AFR_MIM	0.005256	0.063585	x_100_10
TENT	0.001084	0.006848	x_100_10
DUM	0.001251	0.007443	x_100_10
TENT_DUM	0.005389	0.053109	x_100_10
BI	0.001382	0.01036	x_100_10
PAC	0.000217	0.002924	x_100_10
SARA	0.000713	0.005895	x_100_10
PAC_SARA	0.000648	0.006206	x_100_10
BI_PAC_SARA	0.00339	0.043875	x_100_10
TENT_DUM_BI_PAC_SARA	0.002298	0.016946	x_100_10
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_10
LIN	0.012599	0.132069	x_100_11
AFR	0.000911	0.006945	x_100_11
MIM	0.001281	0.006131	x_100_11
AFR_MIM	0.004852	0.060829	x_100_11
TENT	0.001373	0.006552	x_100_11
DUM	0.001577	0.00677	x_100_11
TENT_DUM	0.005495	0.054979	x_100_11
BI	0.001321	0.009437	x_100_11
PAC	8.3e-05	0.001719	x_100_11
SARA	0.000832	0.005545	x_100_11
PAC_SARA	0.000697	0.007311	x_100_11
BI_PAC_SARA	0.00365	0.045874	x_100_11
TENT_DUM_BI_PAC_SARA	0.001365	0.015421	x_100_11
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_11
LIN	0.013766	0.132471	x_100_12
AFR	0.000713	0.005757	x_100_12
MIM	0.001708	0.007165	x_100_12
AFR_MIM	0.005591	0.062505	x_100_12
TENT	0.001348	0.006807	x_100_12
DUM	0.001431	0.007496	x_100_12
TENT_DUM	0.005608	0.049438	x_100_12
BI	0.001669	0.011123	x_100_12
PAC	0.000243	0.003467	x_100_12
SARA	0.001002	0.007234	x_100_12
PAC_SARA	0.000628	0.006048	x_100_12
BI_PAC_SARA	0.003328	0.045656	x_100_12
TENT_DUM_BI_PAC_SARA	0.001912	0.016638	x_100_12
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_12
LIN	0.015078	0.130906	x_100_13
AFR	0.000874	0.006846	x_100_13
MIM	0.001658	0.007157	x_100_13
AFR_MIM	0.005493	0.060241	x_100_13
TENT	0.001283	0.006227	x_100_13
DUM	0.001345	0.007545	x_100_13
TENT_DUM	0.006021	0.051681	x_100_13
BI	0.001615	0.01035	x_100_13
PAC	0.00023	0.002424	x_100_13
SARA	0.001082	0.006608	x_100_13
PAC_SARA	0.000796	0.006909	x_100_13
BI_PAC_SARA	0.004025	0.042819	x_100_13
TENT_DUM_BI_PAC_SARA	0.001736	0.014474	x_100_13
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_13
LIN	0.013684	0.132394	x_100_14
AFR	0.000841	0.00649	x_100_14
MIM	0.001239	0.006841	x_100_14
AFR_MIM	0.005518	0.062529	x_100_14
TENT	0.00107	0.006636	x_100_14
DUM	0.001606	0.006375	x_100_14
TENT_DUM	0.005425	0.052163	x_100_14
BI	0.001404	0.008911	x_100_14
PAC	0.000205	0.003463	x_100_14
SARA	0.001047	0.006508	x_100_14
PAC_SARA	0.000664	0.006419	x_100_14
BI_PAC_SARA	0.003793	0.045211	x_100_14
TENT_DUM_BI_PAC_SARA	0.001724	0.01629	x_100_14
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_14
LIN	0.014988	0.136042	x_100_15
AFR	0.000949	0.006938	x_100_15
MIM	0.001497	0.006469	x_100_15
AFR_MIM	0.006167	0.065165	x_100_15
TENT	0.001057	0.006801	x_100_15
DUM	0.001192	0.006832	x_100_15
TENT_DUM	0.006238	0.052189	x_100_15
BI	0.001595	0.010459	x_100_15
PAC	0.000235	0.002189	x_100_15
SARA	0.000891	0.006033	x_100_15
PAC_SARA	0.000819	0.007434	x_100_15
BI_PAC_SARA	0.003816	0.045183	x_100_15
TENT_DUM_BI_PAC_SARA	0.001956	0.01615	x_100_15
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_15
LIN	0.013403	0.13	x_100_16
AFR	0.00068	0.006186	x_100_16
MIM	0.001236	0.005999	x_100_16
AFR_MIM	0.004995	0.057527	x_100_16
TENT	0.001258	0.006303	x_100_16
DUM	0.001666	0.006575	x_100_16
TENT_DUM	0.005642	0.050119	x_100_16
BI	0.001302	0.00986	x_100_16
PAC	0.000234	0.002077	x_100_16
SARA	0.000999	0.006217	x_100_16
PAC_SARA	0.000649	0.006299	x_100_16
BI_PAC_SARA	0.003582	0.043951	x_100_16
TENT_DUM_BI_PAC_SARA	0.001305	0.013949	x_100_16
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_16
LIN	0.01132	0.137922	x_100_17
AFR	0.000812	0.005736	x_100_17
MIM	0.001169	0.007063	x_100_17
AFR_MIM	0.004727	0.064692	x_100_17
TENT	0.001119	0.006472	x_100_17
DUM	0.001311	0.00728	x_100_17
TENT_DUM	0.004804	0.054038	x_100_17
BI	0.001295	0.008388	x_100_17
PAC	0.000205	0.002756	x_100_17
SARA	0.000939	0.005834	x_100_17
PAC_SARA	0.000506	0.006164	x_100_17
BI_PAC_SARA	0.003696	0.047821	x_100_17
TENT_DUM_BI_PAC_SARA	0.001318	0.016522	x_100_17
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_17
LIN	0.014931	0.133631	x_100_18
AFR	0.000683	0.005596	x_100_18
MIM	0.001156	0.005942	x_100_18
AFR_MIM	0.005169	0.06122	x_100_18
TENT	0.001361	0.007388	x_100_18
DUM	0.001946	0.007256	x_100_18
TENT_DUM	0.005929	0.050469	x_100_18
BI	0.001483	0.010476	x_100_18
PAC	0.000191	0.003064	x_100_18
SARA	0.000822	0.005436	x_100_18
PAC_SARA	0.000725	0.006492	x_100_18
BI_PAC_SARA	0.003726	0.042456	x_100_18
TENT_DUM_BI_PAC_SARA	0.001684	0.016455	x_100_18
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_18
LIN	0.013571	0.129951	x_100_19
AFR	0.000808	0.006281	x_100_19
MIM	0.001143	0.00746	x_100_19
AFR_MIM	0.005526	0.062081	x_100_19
TENT	0.001103	0.006589	x_100_19
DUM	0.001504	0.00783	x_100_19
TENT_DUM	0.00538	0.051061	x_100_19
BI	0.001309	0.009988	x_100_19
PAC	0.000282	0.003502	x_100_19
SARA	0.000788	0.006785	x_100_19
